challan_no,challan_date,steel_code,heat_no,heat_code,jominy_value,received_qty
23900701,06/02/2023,STP058R20MNCR5J5H3437,D86515,,35/36,10105
23900701,06/02/2023,STP048R20MNCR5J5H3437,B56156,,35/36,8220
23900703,06/02/2023,STH090R25MOCR4J5H4044,41139,SIK,42/43,17390
23900728,06/05/2023,STH060RS53C,39627,SII,NA,10700
23900728,06/05/2023,STP056R20MNCR5J5H3740,B61802,,37,4755
23900731,06/06/2023,STP065SEN8D,"213188, 212326",,NA,16070
23900744,06/06/2023,STP066RSAE8620J5H3437,3404,IAP,36/37,21335
23900745,06/06/2023,STP090R815M17J10H3638,C64545,TAQ,J10 36,4775
23900745,06/06/2023,STP050R20MNCR5J5H3740,B60817,,39/40,7810
23900758,06/07/2023,STP060R20MNCR5J5H3740,"B61553, J829988",,37/38,19635
23900759,06/07/2023,STP045R20MNCR5J5H3740,C61611,,,12295
23900759,06/07/2023,STP056REN36CJ5H3740,A14958,,39/40,8025
2312524,06/08/2023,STP060RSCM420HJ5H4044,B62276,,,33390
2312524,06/08/2023,STP060RSAE8620J5H3740,B62280,,39,6550
2312524,06/08/2023,STP060R20MNCR5J5H3437,B62267,,36,1320
2312525,06/08/2023,STP070R20MNCR5J10H3336,C73448,,J10 35,1500
2312525,06/08/2023,STP060R20MNCR5J5H3437,B62267,,36,25280
2312526,06/08/2023,STP070R815M17J10H3336,C73199,TGQ,,7066
2312526,06/08/2023,STP070R815M17J10H3336,C73198,TGN,,7131
2312526,06/08/2023,STP070R815M17J10H3336,C68113,TDP,J10 33.5,1193
2312527,06/08/2023,STP095S20MNCR5J10H3336,M830237,,,19080
2312528,06/08/2023,STP095S20MNCR5J10H3336,M830237,,,18950
2312528,06/08/2023,STP060R20MNCR5J5H3740,C87813,,,3910
2312529,06/08/2023,STP060R20MNCR5J5H3437,C87875,,36,33550
2312529,06/08/2023,STP060R20MNCR5J5H3740,C87813,,,7830
2312530,06/08/2023,STH063R20MNCR5J5H4042,A46943,JJP,,25728
2312530,06/08/2023,STH063R20MNCR5J5H4042,A46944,JJO,,4962
2312531,06/08/2023,STH063R20MNCR5J5H4042,A46944,JJO,,30560
23900777,06/09/2023,STP060R20MNCR5J5H3740,J829988,NDX,37/38,15030
23900778,06/09/2023,STP048R20MNCR5J5H3740,B56121,,37,10600
23900787,06/10/2023,STP068RSAE8620J5H3740,3157,,39,10735
23900787,06/10/2023,STP056R815M17J10H3638,B54717,,41/42,4635
23900788,06/11/2023,STH063RSCM320HJ5H4044,2373,IAI,40/41,5455
23900788,06/11/2023,STP066RSAE8620J5H3437,3404,IAP,36/37,9225
2312667,06/12/2023,STP065SEN8D,"2300722, 2301269A",,NA,23120
2312750,06/14/2023,STP080R815M17J10H3336,C73735,,J10 34,41160
2312751,06/14/2023,STP060RSAE8620J5H3740,B62280,,39,26490
2312751,06/14/2023,STP050R20MNCR5J5H3437,B62491,,36,14210
2312752,06/14/2023,STP060R20MNCR5J5H3437,C87642,,35/36,20020
