schedule_month,schedule_year,drawing_no,similar_part_no,customer_plant,supplier_plant,most_critical_qty,most_critical_commitment_date,critical_qty,critical_commitment_date,mis_qty,mis_commitment_date,recv_till
July,2023,128,0,FBD,MW,0,,0,,3459,,0
July,2023,129,0,FBD,MW,0,,0,,1301,,0
July,2023,195,0,FBD,MW,932,7/5/2023,2500,7/15/2023,2451,,0
July,2023,367,0,FBD,MW,0,,974,7/15/2023,26,,0
July,2023,369,0,FBD,MW,986,7/5/2023,0,,14,,0
July,2023,625,1748,FBD,MW,0,,0,,971,,0
July,2023,627,0,FBD,MW,0,,618,7/15/2023,-18,,0
July,2023,633,0,FBD,MW,0,,1503,7/15/2023,97,,0
July,2023,771,0,FBD,MW,0,,1986,7/15/2023,2,,1211
July,2023,772,0,FBD,MW,0,,1577,7/15/2023,0,,0
July,2023,776,0,FBD,MW,0,,1953,7/15/2023,47,,0
July,2023,787,0,FBD,MW,0,,0,,1007,,0
July,2023,796,0,FBD,MW,0,,163,7/15/2023,1013,,0
July,2023,886,0,FBD,MW,0,,3897,7/15/2023,4980,,1500
July,2023,1084,0,FBD,MW,0,,544,7/15/2023,1809,,0
July,2023,1417,5541-MF,FBD,MW,0,,161,7/15/2023,1800,,0
July,2023,1418,5542-MF,FBD,MW,0,,1864,7/15/2023,1023,,0
July,2023,1448,0,FBD,MW,0,,514,7/15/2023,829,,0
July,2023,1449,0,FBD,MW,0,,224,7/15/2023,812,,0
July,2023,1450,5527,FBD,MW,0,,0,,1000,,0
July,2023,1469,5529,FBD,MW,0,,551,7/15/2023,0,,0
July,2023,1714,0,FBD,MW,0,,658,7/15/2023,5,,0
July,2023,1764,0,RDPR,MW,1961,7/5/2023,1500,7/15/2023,0,,0
July,2023,1783,0,RDPR,MW,1200,7/5/2023,1628,7/15/2023,472,,0
July,2023,1831,0,FBD,MW,0,,781,7/15/2023,2046,,0
July,2023,1835,0,FBD,MW,0,,0,,3163,,0
July,2023,1879,0,FBD,MW,0,,1586,7/15/2023,3790,,0
July,2023,1897,0,FBD,MW,0,,1734,7/15/2023,2018,,0
July,2023,1898,0,FBD,MW,0,,1665,7/15/2023,6003,,0
July,2023,1904,0,FBD,MW,0,,418,7/15/2023,2228,,0
July,2023,2144,0,FBD,MW,0,,0,,1947,,0
July,2023,2148,0,FBD,MW,1754,7/5/2023,2000,7/15/2023,727,,0
July,2023,2150,0,FBD,MW,0,,0,,1104,,0
July,2023,2152,0,FBD,MW,0,,219,7/15/2023,1475,,533
July,2023,2153,0,FBD,MW,0,,1065,7/15/2023,0,,0
July,2023,2199,4108,FBD,MW,0,,830,7/15/2023,1140,,0
July,2023,2203,0,FBD,MW,2300,7/5/2023,0,,0,,0
July,2023,2215,0,FBD,MW,0,,0,,1523,,1233
July,2023,2220,0,FBD,MW,0,,0,,1000,,0
July,2023,2221,0,FBD,MW,0,,0,,1000,,0
July,2023,2224,0,FBD,MW,0,,1000,7/15/2023,0,,0
July,2023,2304,0,FBD,MW,0,,0,,1000,,0
July,2023,2317,0,BHAGOLA,MW,0,,2315,7/15/2023,0,,0
July,2023,2322,0,BHAGOLA,MW,2805,7/5/2023,4000,7/15/2023,0,,0
July,2023,2325,0,BHAGOLA,MW,313,7/5/2023,2300,7/15/2023,0,,0
July,2023,2328,0,BHAGOLA,MW,1273,7/5/2023,2100,7/15/2023,0,,0
July,2023,2514,0,FBD,MW,0,,0,,1000,,0
July,2023,2520,2555,FBD,MW,0,,0,,753,,0
July,2023,2521,2554,FBD,MW,0,,0,,650,,0
July,2023,2522,2556,FBD,MW,0,,142,7/15/2023,2005,,0
July,2023,2523,2552,FBD,MW,0,,0,,1636,,0
July,2023,2524,0,FBD,MW,0,,0,,1986,,0
July,2023,2527,0,FBD,MW,1071,7/5/2023,3000,7/15/2023,1786,,0
