steel_code,steel_grade,section,section_type,jominy_range
STP036R16MNCR5J5H3236,16MNCR5,36,DIA,J5 32-36
STP050R16MNCR5J5H3236,16MNCR5,50,DIA,J5 32-36
STP070R16MNCR5J5H3236,16MNCR5,70,DIA,J5 32-36
STP032R16MNCR5J5H3437,16MNCR5,32,DIA,J5 34-37
STP036R16MNCR5J5H3437,16MNCR5,36,DIA,J5 34-37
STP045R16MNCR5J5H3437,16MNCR5,45,DIA,J5 34-37
STP050R16MNCR5J5H3437,16MNCR5,50,DIA,J5 34-37
STP060R16MNCR5J5H3437,16MNCR5,60,DIA,J5 34-37
STP070R16MNCR5J5H3437,16MNCR5,70,DIA,J5 34-37
STP032R16MNCR5J5H3740,16MNCR5,32,DIA,J5 37-40
STP034R16MNCR5J5H3740,16MNCR5,34,DIA,J5 37-40
STP036R16MNCR5J5H3740,16MNCR5,36,DIA,J5 37-40
STP045R16MNCR5J5H3740,16MNCR5,45,DIA,J5 37-40
STP050R16MNCR5J5H3740,16MNCR5,50,DIA,J5 37-40
STP060R16MNCR5J5H3740,16MNCR5,60,DIA,J5 37-40
STP070R16MNCR5J5H3740,16MNCR5,70,DIA,J5 37-40
STP032R20MNCR5J5H3236,20MNCR5,32,DIA,J5 32-36
STP034R20MNCR5J5H3236,20MNCR5,34,DIA,J5 32-36
STP036R20MNCR5J5H3236,20MNCR5,36,DIA,J5 32-36
STP040R20MNCR5J5H3236,20MNCR5,40,DIA,J5 32-36
STP045R20MNCR5J5H3236,20MNCR5,45,DIA,J5 32-36
STP048R20MNCR5J5H3236,20MNCR5,48,DIA,J5 32-36
STP050R20MNCR5J5H3236,20MNCR5,50,DIA,J5 32-36
STP056R20MNCR5J5H3236,20MNCR5,56,DIA,J5 32-36
STP060R20MNCR5J5H3236,20MNCR5,60,DIA,J5 32-36
STP063R20MNCR5J5H3236,20MNCR5,63,DIA,J5 32-36
STP063S20MNCR5J5H3236,20MNCR5,63,RCS,J5 32-36
STP070R20MNCR5J5H3236,20MNCR5,70,DIA,J5 32-36
STP072R20MNCR5J5H3236,20MNCR5,72,DIA,J5 32-36
STP075S20MNCR5J5H3236,20MNCR5,75,RCS,J5 32-36
STP080R20MNCR5J5H3236,20MNCR5,80,DIA,J5 32-36
STP090R20MNCR5J5H3236,20MNCR5,90,DIA,J5 32-36
STP090S20MNCR5J5H3236,20MNCR5,90,RCS,J5 32-36
STP095R20MNCR5J5H3236,20MNCR5,95,DIA,J5 32-36
STP095S20MNCR5J5H3236,20MNCR5,95,RCS,J5 32-36
STP032R20MNCR5J5H3437,20MNCR5,32,DIA,J5 34-37
STP034R20MNCR5J5H3437,20MNCR5,34,DIA,J5 34-37
STP036R20MNCR5J5H3437,20MNCR5,36,DIA,J5 34-37
STP040R20MNCR5J5H3437,20MNCR5,40,DIA,J5 34-37
STP045R20MNCR5J5H3437,20MNCR5,45,DIA,J5 34-37
STP048R20MNCR5J5H3437,20MNCR5,48,DIA,J5 34-37
STP050R20MNCR5J5H3437,20MNCR5,50,DIA,J5 34-37
STP056R20MNCR5J5H3437,20MNCR5,56,DIA,J5 34-37
STP058R20MNCR5J5H3437,20MNCR5,58,DIA,J5 34-37
STP060R20MNCR5J5H3437,20MNCR5,60,DIA,J5 34-37
